treatment,control,true_effect,N,bwfactor,bias,se,rmse,avse,coverage_rate
6.0,2.0,32.0,2000,1.0,0.11321495948563154,0.38215761709108786,0.39852924640607956,0.50817136592111789,0.98899999999999777
6.0,2.0,32.0,2000,1.25,0.028856329581010698,0.37170515021574946,0.37277723277330577,0.47220776458972991,0.98624999999999763
6.0,2.0,32.0,2000,1.5,-0.075332890958623722,0.37158727910446104,0.37910108305825591,0.44900854797654011,0.977250000000001
6.0,2.0,32.0,2000,1.75,-0.19963599816730593,0.37606035579094294,0.42572358122855919,0.43355090013257713,0.94625000000000137
6.0,2.0,32.0,2000,2.0,-0.34393155450875668,0.38642893260079486,0.51728029375548434,0.425113623814814,0.88375000000000081
6.0,2.0,32.0,4000,0.25,0.30811440055553874,0.44302313743823596,0.53958772851148606,0.70156982112434374,0.99875000000000047
6.0,2.0,32.0,4000,0.5,0.27519363279942866,0.34007100995749429,0.4374367557417192,0.51191255479579967,0.993500000000002
6.0,2.0,32.0,4000,0.75,0.24131643398532532,0.30220226504555431,0.38670014062297114,0.42771490084991182,0.98550000000000171
6.0,2.0,32.0,4000,1.0,0.19500623134934614,0.28356461821034634,0.34411658016243274,0.38096563603269212,0.97875000000000056
6.0,2.0,32.0,4000,1.25,0.13274225669241702,0.2794418975225339,0.30933599670791861,0.35258799750541825,0.98025000000000029
6.0,2.0,32.0,4000,1.5,0.052651086912796075,0.28299192130619921,0.28781338289038111,0.33362747704335372,0.97925000000000018
6.0,2.0,32.0,4000,1.75,-0.043305615892315075,0.28699960497084981,0.29021295186108748,0.32109714765351405,0.96649999999999847
6.0,2.0,32.0,4000,2.0,-0.15489696484115711,0.29422251721094117,0.33247303293432484,0.3124287619533313,0.93249999999999944
6.0,2.0,32.0,8000,0.25,0.311243476035429,0.34647579981380666,0.46571232521936989,0.54039964682306185,0.99450000000000138
6.0,2.0,32.0,8000,0.5,0.29651718605708766,0.26383402652823612,0.39687962039249863,0.39084566260493908,0.97600000000000009
6.0,2.0,32.0,8000,0.75,0.27188076527069427,0.23425398642030718,0.35885980820573882,0.327575069543444,0.95299999999999918
6.0,2.0,32.0,8000,1.0,0.23659031297912492,0.21962520154577833,0.32279737691362742,0.29333681549467522,0.94924999999999993
6.0,2.0,32.0,8000,1.25,0.18737878116526474,0.21524791854633368,0.2853609839359792,0.27172785921969761,0.95199999999999885
6.0,2.0,32.0,8000,1.5,0.12553788951607459,0.217686444381057,0.25126739327738268,0.25832457466126107,0.960249999999999
6.0,2.0,32.0,8000,1.75,0.054571051038479368,0.22122349658098026,0.22782800550437496,0.24833318792594297,0.96825000000000072
6.0,2.0,32.0,8000,2.0,-0.03116664381430212,0.23147431959696968,0.23353441979581122,0.24237483350643965,0.95549999999999968
7.0,2.0,45.0,2000,0.25,0.25235645346464253,1.1790737202904127,1.2056330551935113,1.624132650946938,0.9854999999999996
7.0,2.0,45.0,2000,0.5,0.15828488402260632,0.64122295660390594,0.660392453671216,0.90429891124499184,0.99450000000000183
7.0,2.0,45.0,2000,0.75,0.010875398032929695,0.549985347278425,0.55002412268262468,0.744640118140006,0.98900000000000032
7.0,2.0,45.0,2000,1.0,-0.1811542982983454,0.53011614947072272,0.56015154729651229,0.67866486742894117,0.97149999999999981
7.0,2.0,45.0,2000,1.25,-0.42353989367512668,0.52415383094440327,0.6738357334829268,0.64056878277698825,0.92299999999999993
7.0,2.0,45.0,2000,1.5,-0.72234492421918617,0.53435677264866976,0.89846979121763149,0.616517824411446,0.79824999999999791
7.0,2.0,45.0,2000,1.75,-1.0683130096104492,0.55485597571707312,1.2037777510833789,0.60283101002683248,0.58124999999999916
7.0,2.0,45.0,2000,2.0,-1.4658821946573468,0.57625460246055094,1.5750545889361309,0.59536196715284617,0.30999999999999989
7.0,2.0,45.0,4000,0.25,0.30962591515589111,0.65740637945191338,0.72659707492757175,0.99599928188932363,0.99700000000000033
7.0,2.0,45.0,4000,0.5,0.255919693488309,0.45078879197353838,0.51831903481384167,0.66778057626413656,0.99599999999999922
7.0,2.0,45.0,4000,0.75,0.15440552534928997,0.40111349782127104,0.42975909691741626,0.56477891310680106,0.99274999999999947
7.0,2.0,45.0,4000,1.0,0.012420862831461932,0.38620484344216433,0.38635627390582133,0.50881067314199657,0.98549999999999782
7.0,2.0,45.0,4000,1.25,-0.17172484136663257,0.38885165513251813,0.42503791529614771,0.4754715776441627,0.95674999999999955
7.0,2.0,45.0,4000,1.5,-0.39479354250826759,0.4009469132107007,0.56265458214841557,0.45486555468970929,0.87800000000000189
